ProjectID,AuthorizationCategory,AuthorizationType,ApplicationType,eFactsAuthID,PermitNumber,Submitted,Status
10000014,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,New,1570059,E0405226-004,5/18/26,Pending
10000014,MING Explosives Safety,Blasting Activity Permit,New,1580774,4264103,8/19/26,Pending
10000014,WPC Act 537 Municipal Sewage Planning,Act 537 Sewage Planning,,,,,Not Yet Submitted
10000014,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000015,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,Transfer,1570051,PAD540030,5/18/26,Issued
10000015,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,Minor Amendment,,PAD540030 A-1,8/7/26,Pending
10000015,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,Transfer,1569076,E5402222-003,5/8/26,Issued
10000015,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,Amendment,,,,Not Yet Submitted
10000015,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000015,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000015,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000016,Air Quality,Minor Facility Plan Approval New Source Performance Std,New,1511828,08-0006A,12/27/24,Issued
10000016,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000016,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000016,WPC Act 537 Municipal Sewage Planning,Act 537 Sewage Planning,,,,,Not Yet Submitted
10000016,WPC NPDES,PAG-03 Discharge of Stormwater Assoc w Industrial Activities,,,,,Not Yet Submitted
10000017,Air Quality,Plan Approval,,,,,Not Yet Submitted
10000017,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,,,,,Not Yet Submitted
10000017,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000017,WPC NPDES,Clean Water Individual NPDES Permit,,,,,Not Yet Submitted
10000017,WPC Act 537 Municipal Sewage Planning,Act 537 Sewage Planning,,,,,Not Yet Submitted
10000018,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),,,PAC040210,7/9/26,Pending
10000018,Air Quality,Plan Approval,,,,,Not Yet Submitted
10000018,Storage Tanks,Site Specific Installation Permit,,,,,Not Yet Submitted
10000018,WPC Act 537 Municipal Sewage Planning,Act 537 Sewage Planning,,,,,Not Yet Submitted
10000019,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,Transfer,1551380,E02-145,12/8/25,Issued
10000019,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,Transfer,1551370,E02-231,12/8/25,Issued
10000019,WRM Water Obstructions & Encroachments,BWM-GP-11 Maintenance /Testing / Repair / Rehabilitation / Replacement General Pmt,Transfer,1551375,GP110216248,12/8/25,Issued
10000019,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,,,,,Not Yet Submitted
10000019,Environmental Cleanup & Brownfields,Notice of Intent to Remediate (Act 2),,,,,Not Yet Submitted
10000020,Air Quality,Minor Source Operating Permit,New,1540303,65-01147,8/20/25,Pending
10000020,WPC State Water Pollution Control,WQM Minor and Non-NPDES Industrial Waste Treatment Plants,Transfer,1516950,6570201,2/19/25,Issued
10000020,WPC State Water Pollution Control,WQM Minor and Non-NPDES Sewage Treatment Plants,Transfer,1516965,6570401,2/19/25,Issued
10000020,WPC NPDES,Minor IW Facility without ELG,Transfer,1514997,PA0000469,1/31/25,Issued
10000020,Storage Tanks,Storage Tank Registration/Permitting,New,1515070,65-25233 2,2/5/25,Issued
10000021,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,,,PAD430004,4/28/26,Pending
10000021,Environmental Cleanup & Brownfields,Notice of Intent to Remediate (Act 2),,,,5/18/26,Received
10000022,Air Quality,Major Facility Plan Approval New Source Review Non-Attainment,New,1567307,63-01104A,4/10/26,Pending
10000022,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000022,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000023,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000023,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000023,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000023,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
